74,52
146,47
212,42
184,86
257,89
296,22
366,23
508,35
579,18
645,24
726,22
795,24
865,15
936,58
827,61
785,63
752,63
712,100
658,106
616,66
528,103
599,122
474,65
443,99
370,99
390,122
297,93
331,142
253,125
222,126
147,125
111,122
115,83
75,125
41,160
39,231
76,237
98,194
147,195
112,224
148,231
180,244
178,187
185,162
208,144
259,164
216,191
299,153
304,200
350,187
375,172
442,173
484,114
546,141
613,141
678,135
750,134
814,139
879,136
919,133
328,89
780,98
851,96
944,100
948,141
979,171
935,208
989,219
1006,200
1022,239
1074,178
1086,291
1050,478
1041,521
1097,495
997,569
1046,566
954,512
1003,511
997,427
977,399
947,367
980,337
988,273
937,275
879,206
914,170
846,174
831,205
776,171
809,227
836,243
864,277
865,299
913,338
947,325
910,361
885,369
865,343
827,309
798,273
773,239
782,211
743,205
711,172
645,172
608,207
637,211
578,172
540,210
514,210
510,184
480,223
419,249
408,205
364,239
364,286
289,229
277,256
224,270
154,268
81,269
127,298
93,342
170,328
140,357
122,378
168,395
158,412
210,355
210,328
198,295
254,309
236,329
280,323
320,340
332,289
346,341
311,366
280,351
250,384
216,378
226,402
137,428
138,472
174,461
143,492
181,517
196,490
238,517
269,486
236,464
147,548
159,599
245,574
234,535
269,545
221,508
194,578
190,626
162,625
166,649
199,673
174,698
199,728
173,760
174,775
185,792
187,837
178,882
221,879
244,847
216,811
212,767
239,748
226,696
255,674
242,651
217,650
245,623
222,600
282,595
288,642
312,620
340,644
289,698
332,670
342,695
320,745
324,768
296,800
272,811
269,768
266,787
244,793
325,811
303,836
328,854
315,878
372,878
354,834
350,788
507,240
536,236
639,238
577,221
659,253
615,261
602,275
583,274
563,292
541,274
522,256
508,306
469,281
444,307
418,301
400,312
378,306
738,243
676,209
672,274
709,262
732,273
761,306
720,293
698,307
635,309
601,336
577,343
571,370
550,331
475,337
507,366
488,369
447,370
412,337
412,367
412,398
382,371
350,400
288,409
319,425
357,459
384,434
299,457
331,488
298,519
331,542
300,575
337,594
337,567
360,568
374,539
391,489
406,501
420,463
429,507
450,487
455,460
442,438
477,401
478,443
509,427
535,388
558,429
598,396
608,372
628,344
655,365
686,352
725,340
796,342
754,366
738,366
714,370
702,423
786,399
758,389
807,391
780,372
816,365
911,397
850,403
875,427
894,427
914,427
934,427
961,454
925,449
898,456
925,484
971,536
900,514
862,480
844,455
813,430
777,423
633,401
634,425
609,421
604,462
570,483
551,482
556,461
511,487
478,518
449,542
449,565
425,569
393,603
364,593
367,621
393,643
368,675
402,689
373,724
402,741
370,765
405,834
376,812
406,787
432,811
431,854
457,834
485,850
472,868
520,876
605,874
706,870
738,872
823,873
927,870
974,867
988,870
994,858
1005,876
1046,860
1080,825
1032,822
1009,802
1010,763
1053,739
1081,713
1088,662
1061,638
1096,602
1018,591
985,614
1011,643
974,665
954,639
966,612
963,584
942,566
912,553
878,570
896,578
909,588
903,616
925,616
900,640
933,673
890,688
948,687
996,687
1031,669
965,710
914,713
961,753
936,755
932,777
908,803
895,843
910,755
878,778
878,754
858,761
847,804
838,846
767,830
794,807
827,780
805,763
777,783
745,806
692,810
664,833
609,825
561,827
533,851
537,805
587,806
563,788
587,765
563,740
588,718
635,727
696,718
641,762
666,785
696,764
728,740
752,764
781,734
810,719
863,715
815,669
871,666
836,690
833,734
782,692
752,714
850,659
829,624
878,619
856,588
851,560
827,563
837,516
853,500
812,488
782,478
781,500
798,539
769,567
764,551
749,597
771,601
794,590
762,616
786,640
765,640
758,670
724,691
701,670
674,670
672,695
647,669
674,645
735,647
705,622
680,611
665,597
680,593
715,572
716,531
749,526
750,487
747,457
716,463
694,482
702,503
722,509
688,535
650,540
654,566
662,516
655,475
661,452
634,483
630,498
599,513
629,541
612,545
618,560
596,530
585,579
591,601
623,599
649,623
593,627
592,673
565,650
535,670
565,693
536,728
510,741
539,762
512,784
486,812
457,786
487,766
434,769
458,748
426,719
480,713
506,697
453,692
478,672
423,672
450,648
461,623
473,634
486,619
501,615
534,646
504,646
539,624
506,595
539,573
457,599
431,581
481,572
462,552
477,545
511,542
538,514
567,507
568,544
615,788
956,816
738,848
472,472
307,385
638,848
1025,717
